"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"891","Newham, 00BB (891)","1","Newham, 00BB (1)","1/6/2019 - 31/8/2019, Every day, Daily Average",1233,856,1775
"891","Newham, 00BB (891)","2","Newham, 00BB (2)","1/6/2019 - 31/8/2019, Every day, Daily Average",358,187,681
"891","Newham, 00BB (891)","3","Newham, 00BB (3)","1/6/2019 - 31/8/2019, Every day, Daily Average",269,99,724
"891","Newham, 00BB (891)","4","Newham, 00BB (4)","1/6/2019 - 31/8/2019, Every day, Daily Average",295,148,587
"891","Newham, 00BB (891)","5","Lambeth, 00AY (5)","1/6/2019 - 31/8/2019, Every day, Daily Average",2456,2035,2963
"891","Newham, 00BB (891)","6","Lambeth, 00AY (6)","1/6/2019 - 31/8/2019, Every day, Daily Average",2579,2117,3140
"891","Newham, 00BB (891)","9","Southwark, 00BE (9)","1/6/2019 - 31/8/2019, Every day, Daily Average",2064,1763,2415
"891","Newham, 00BB (891)","10","Newham, 00BB (10)","1/6/2019 - 31/8/2019, Every day, Daily Average",684,476,981
"891","Newham, 00BB (891)","11","Redbridge, 00BC (11)","1/6/2019 - 31/8/2019, Every day, Daily Average",1633,1278,2085
"891","Newham, 00BB (891)","14","Redbridge, 00BC (14)","1/6/2019 - 31/8/2019, Every day, Daily Average",1324,1042,1681
"891","Newham, 00BB (891)","15","Wandsworth, 00BJ (15)","1/6/2019 - 31/8/2019, Every day, Daily Average",3746,3096,4531
"891","Newham, 00BB (891)","16","Southwark, 00BE (16)","1/6/2019 - 31/8/2019, Every day, Daily Average",2254,1942,2615
"891","Newham, 00BB (891)","17","Wandsworth, 00BJ (17)","1/6/2019 - 31/8/2019, Every day, Daily Average",3396,2724,4233
"891","Newham, 00BB (891)","18","Westminster, 00BK (18)","1/6/2019 - 31/8/2019, Every day, Daily Average",3385,2685,4267
"891","Newham, 00BB (891)","19","Westminster, 00BK (19)","1/6/2019 - 31/8/2019, Every day, Daily Average",3333,2657,4180
"891","Newham, 00BB (891)","20","Westminster, 00BK (20)","1/6/2019 - 31/8/2019, Every day, Daily Average",3241,2627,3997
"891","Newham, 00BB (891)","21","City of London, 00AA (21)","1/6/2019 - 31/8/2019, Every day, Daily Average",1522,1167,1983
"891","Newham, 00BB (891)","22","Barking and Dagenham, 00AB (22)","1/6/2019 - 31/8/2019, Every day, Daily Average",1831,1433,2338
"891","Newham, 00BB (891)","23","Barking and Dagenham, 00AB (23)","1/6/2019 - 31/8/2019, Every day, Daily Average",1665,1321,2097
"891","Newham, 00BB (891)","25","Barking and Dagenham, 00AB (25)","1/6/2019 - 31/8/2019, Every day, Daily Average",1407,1147,1725
"891","Newham, 00BB (891)","26","Barking and Dagenham, 00AB (26)","1/6/2019 - 31/8/2019, Every day, Daily Average",1424,1128,1796
"891","Newham, 00BB (891)","27","Barking and Dagenham, 00AB (27)","1/6/2019 - 31/8/2019, Every day, Daily Average",1476,1060,2055
"891","Newham, 00BB (891)","28","Barking and Dagenham, 00AB (28)","1/6/2019 - 31/8/2019, Every day, Daily Average",1297,996,1688
"891","Newham, 00BB (891)","29","Barking and Dagenham, 00AB (29)","1/6/2019 - 31/8/2019, Every day, Daily Average",1206,952,1527
"891","Newham, 00BB (891)","30","Barking and Dagenham, 00AB (30)","1/6/2019 - 31/8/2019, Every day, Daily Average",1458,1161,1830
"891","Newham, 00BB (891)","31","Barking and Dagenham, 00AB (31)","1/6/2019 - 31/8/2019, Every day, Daily Average",1706,1199,2426
"891","Newham, 00BB (891)","32","Barking and Dagenham, 00AB (32)","1/6/2019 - 31/8/2019, Every day, Daily Average",1231,894,1693
"891","Newham, 00BB (891)","33","Barking and Dagenham, 00AB (33)","1/6/2019 - 31/8/2019, Every day, Daily Average",1092,786,1515
"891","Newham, 00BB (891)","34","Barking and Dagenham, 00AB (34)","1/6/2019 - 31/8/2019, Every day, Daily Average",1249,937,1663
"891","Newham, 00BB (891)","35","Barking and Dagenham, 00AB (35)","1/6/2019 - 31/8/2019, Every day, Daily Average",1455,990,2136
"891","Newham, 00BB (891)","36","Barking and Dagenham, 00AB (36)","1/6/2019 - 31/8/2019, Every day, Daily Average",826,616,1105
"891","Newham, 00BB (891)","37","Barking and Dagenham, 00AB (37)","1/6/2019 - 31/8/2019, Every day, Daily Average",1081,771,1514
"891","Newham, 00BB (891)","38","Barking and Dagenham, 00AB (38)","1/6/2019 - 31/8/2019, Every day, Daily Average",940,687,1285
"891","Newham, 00BB (891)","39","Barking and Dagenham, 00AB (39)","1/6/2019 - 31/8/2019, Every day, Daily Average",1059,774,1448
"891","Newham, 00BB (891)","40","Barking and Dagenham, 00AB (40)","1/6/2019 - 31/8/2019, Every day, Daily Average",872,617,1230
"891","Newham, 00BB (891)","41","Barking and Dagenham, 00AB (41)","1/6/2019 - 31/8/2019, Every day, Daily Average",1133,853,1503
"891","Newham, 00BB (891)","43","Barnet, 00AC (43)","1/6/2019 - 31/8/2019, Every day, Daily Average",3003,2424,3719
"891","Newham, 00BB (891)","44","Barnet, 00AC (44)","1/6/2019 - 31/8/2019, Every day, Daily Average",2789,2282,3407
"891","Newham, 00BB (891)","46","Barnet, 00AC (46)","1/6/2019 - 31/8/2019, Every day, Daily Average",2447,1990,3007
"891","Newham, 00BB (891)","47","Barnet, 00AC (47)","1/6/2019 - 31/8/2019, Every day, Daily Average",2525,2105,3027
"891","Newham, 00BB (891)","49","Barnet, 00AC (49)","1/6/2019 - 31/8/2019, Every day, Daily Average",3023,2381,3836
"891","Newham, 00BB (891)","50","Barnet, 00AC (50)","1/6/2019 - 31/8/2019, Every day, Daily Average",3011,2406,3767
"891","Newham, 00BB (891)","51","Barnet, 00AC (51)","1/6/2019 - 31/8/2019, Every day, Daily Average",2239,1806,2775
"891","Newham, 00BB (891)","52","Barnet, 00AC (52)","1/6/2019 - 31/8/2019, Every day, Daily Average",2998,2348,3826
"891","Newham, 00BB (891)","58","Barnet, 00AC (58)","1/6/2019 - 31/8/2019, Every day, Daily Average",2274,1835,2817
"891","Newham, 00BB (891)","61","Barnet, 00AC (61)","1/6/2019 - 31/8/2019, Every day, Daily Average",2838,2223,3621
"891","Newham, 00BB (891)","62","Barnet, 00AC (62)","1/6/2019 - 31/8/2019, Every day, Daily Average",2540,2162,2983
"891","Newham, 00BB (891)","63","Barnet, 00AC (63)","1/6/2019 - 31/8/2019, Every day, Daily Average",3040,2530,3651
"891","Newham, 00BB (891)","66","Bromley, 00AF (66)","1/6/2019 - 31/8/2019, Every day, Daily Average",1732,1398,2145
"891","Newham, 00BB (891)","67","Bromley, 00AF (67)","1/6/2019 - 31/8/2019, Every day, Daily Average",1906,1537,2362
"891","Newham, 00BB (891)","68","Bromley, 00AF (68)","1/6/2019 - 31/8/2019, Every day, Daily Average",1936,1553,2412
"891","Newham, 00BB (891)","69","Bromley, 00AF (69)","1/6/2019 - 31/8/2019, Every day, Daily Average",2471,2044,2985
"891","Newham, 00BB (891)","70","Bromley, 00AF (70)","1/6/2019 - 31/8/2019, Every day, Daily Average",2604,2201,3079
"891","Newham, 00BB (891)","71","Bromley, 00AF (71)","1/6/2019 - 31/8/2019, Every day, Daily Average",2295,1886,2791
"891","Newham, 00BB (891)","72","Bromley, 00AF (72)","1/6/2019 - 31/8/2019, Every day, Daily Average",2010,1659,2434
"891","Newham, 00BB (891)","73","Bromley, 00AF (73)","1/6/2019 - 31/8/2019, Every day, Daily Average",2095,1712,2563
"891","Newham, 00BB (891)","74","Bromley, 00AF (74)","1/6/2019 - 31/8/2019, Every day, Daily Average",2632,2198,3150
"891","Newham, 00BB (891)","75","Bromley, 00AF (75)","1/6/2019 - 31/8/2019, Every day, Daily Average",2263,1815,2820
"891","Newham, 00BB (891)","76","Bromley, 00AF (76)","1/6/2019 - 31/8/2019, Every day, Daily Average",2318,1902,2823
"891","Newham, 00BB (891)","77","Bromley, 00AF (77)","1/6/2019 - 31/8/2019, Every day, Daily Average",2301,1898,2788
"891","Newham, 00BB (891)","78","Bromley, 00AF (78)","1/6/2019 - 31/8/2019, Every day, Daily Average",2414,1990,2928
"891","Newham, 00BB (891)","79","Bromley, 00AF (79)","1/6/2019 - 31/8/2019, Every day, Daily Average",2290,1695,3093
"891","Newham, 00BB (891)","80","Bromley, 00AF (80)","1/6/2019 - 31/8/2019, Every day, Daily Average",2655,2213,3185
"891","Newham, 00BB (891)","81","Bromley, 00AF (81)","1/6/2019 - 31/8/2019, Every day, Daily Average",2175,1783,2652
"891","Newham, 00BB (891)","82","Bromley, 00AF (82)","1/6/2019 - 31/8/2019, Every day, Daily Average",2501,2064,3030
"891","Newham, 00BB (891)","83","Camden, 00AG (83)","1/6/2019 - 31/8/2019, Every day, Daily Average",3138,2656,3706
"891","Newham, 00BB (891)","84","Camden, 00AG (84)","1/6/2019 - 31/8/2019, Every day, Daily Average",3199,2639,3876
"891","Newham, 00BB (891)","85","Camden, 00AG (85)","1/6/2019 - 31/8/2019, Every day, Daily Average",3133,2568,3822
"891","Newham, 00BB (891)","86","Camden, 00AG (86)","1/6/2019 - 31/8/2019, Every day, Daily Average",3014,2492,3644
"891","Newham, 00BB (891)","87","Greenwich, 00AL (87)","1/6/2019 - 31/8/2019, Every day, Daily Average",2104,1630,2715
"891","Newham, 00BB (891)","88","Greenwich, 00AL (88)","1/6/2019 - 31/8/2019, Every day, Daily Average",1406,898,2199
"891","Newham, 00BB (891)","89","Greenwich, 00AL (89)","1/6/2019 - 31/8/2019, Every day, Daily Average",1646,1145,2364
"891","Newham, 00BB (891)","90","Greenwich, 00AL (90)","1/6/2019 - 31/8/2019, Every day, Daily Average",1401,924,2123
"891","Newham, 00BB (891)","91","Greenwich, 00AL (91)","1/6/2019 - 31/8/2019, Every day, Daily Average",1915,1420,2582
"891","Newham, 00BB (891)","92","Greenwich, 00AL (92)","1/6/2019 - 31/8/2019, Every day, Daily Average",998,738,1348
"891","Newham, 00BB (891)","93","Greenwich, 00AL (93)","1/6/2019 - 31/8/2019, Every day, Daily Average",1544,1056,2256
"891","Newham, 00BB (891)","94","Greenwich, 00AL (94)","1/6/2019 - 31/8/2019, Every day, Daily Average",1340,877,2046
"891","Newham, 00BB (891)","95","Greenwich, 00AL (95)","1/6/2019 - 31/8/2019, Every day, Daily Average",1710,1229,2378
"891","Newham, 00BB (891)","96","Greenwich, 00AL (96)","1/6/2019 - 31/8/2019, Every day, Daily Average",1473,1087,1994
"891","Newham, 00BB (891)","97","Greenwich, 00AL (97)","1/6/2019 - 31/8/2019, Every day, Daily Average",1050,783,1407
"891","Newham, 00BB (891)","98","Greenwich, 00AL (98)","1/6/2019 - 31/8/2019, Every day, Daily Average",1692,1202,2381
"891","Newham, 00BB (891)","99","Greenwich, 00AL (99)","1/6/2019 - 31/8/2019, Every day, Daily Average",1168,840,1623
"891","Newham, 00BB (891)","100","Greenwich, 00AL (100)","1/6/2019 - 31/8/2019, Every day, Daily Average",1102,817,1485
"891","Newham, 00BB (891)","101","Greenwich, 00AL (101)","1/6/2019 - 31/8/2019, Every day, Daily Average",1359,1012,1823
"891","Newham, 00BB (891)","102","Greenwich, 00AL (102)","1/6/2019 - 31/8/2019, Every day, Daily Average",1178,891,1557
"891","Newham, 00BB (891)","103","Greenwich, 00AL (103)","1/6/2019 - 31/8/2019, Every day, Daily Average",1370,1068,1757
"891","Newham, 00BB (891)","104","Greenwich, 00AL (104)","1/6/2019 - 31/8/2019, Every day, Daily Average",1345,986,1834
"891","Newham, 00BB (891)","105","Greenwich, 00AL (105)","1/6/2019 - 31/8/2019, Every day, Daily Average",1409,1055,1881
"891","Newham, 00BB (891)","106","Camden, 00AG (106)","1/6/2019 - 31/8/2019, Every day, Daily Average",2431,1923,3072
"891","Newham, 00BB (891)","107","Croydon, 00AH (107)","1/6/2019 - 31/8/2019, Every day, Daily Average",3187,2590,3920
"891","Newham, 00BB (891)","108","Croydon, 00AH (108)","1/6/2019 - 31/8/2019, Every day, Daily Average",2785,2301,3370
"891","Newham, 00BB (891)","111","Croydon, 00AH (111)","1/6/2019 - 31/8/2019, Every day, Daily Average",2909,2427,3485
"891","Newham, 00BB (891)","114","Croydon, 00AH (114)","1/6/2019 - 31/8/2019, Every day, Daily Average",3344,2674,4181
"891","Newham, 00BB (891)","115","Croydon, 00AH (115)","1/6/2019 - 31/8/2019, Every day, Daily Average",2848,2343,3461
"891","Newham, 00BB (891)","119","Enfield, 00AK (119)","1/6/2019 - 31/8/2019, Every day, Daily Average",2308,1861,2862
"891","Newham, 00BB (891)","120","Enfield, 00AK (120)","1/6/2019 - 31/8/2019, Every day, Daily Average",2461,1878,3224
"891","Newham, 00BB (891)","121","Enfield, 00AK (121)","1/6/2019 - 31/8/2019, Every day, Daily Average",2376,1862,3030
"891","Newham, 00BB (891)","124","Enfield, 00AK (124)","1/6/2019 - 31/8/2019, Every day, Daily Average",2472,1947,3138
"891","Newham, 00BB (891)","125","Enfield, 00AK (125)","1/6/2019 - 31/8/2019, Every day, Daily Average",2082,1686,2570
"891","Newham, 00BB (891)","126","Enfield, 00AK (126)","1/6/2019 - 31/8/2019, Every day, Daily Average",2230,1785,2785
"891","Newham, 00BB (891)","129","Enfield, 00AK (129)","1/6/2019 - 31/8/2019, Every day, Daily Average",1824,1504,2210
"891","Newham, 00BB (891)","130","Enfield, 00AK (130)","1/6/2019 - 31/8/2019, Every day, Daily Average",2002,1600,2504
"891","Newham, 00BB (891)","131","Enfield, 00AK (131)","1/6/2019 - 31/8/2019, Every day, Daily Average",1617,1332,1962
"891","Newham, 00BB (891)","132","Enfield, 00AK (132)","1/6/2019 - 31/8/2019, Every day, Daily Average",2056,1656,2552
"891","Newham, 00BB (891)","133","Enfield, 00AK (133)","1/6/2019 - 31/8/2019, Every day, Daily Average",2166,1709,2744
"891","Newham, 00BB (891)","134","Enfield, 00AK (134)","1/6/2019 - 31/8/2019, Every day, Daily Average",1491,1222,1818
"891","Newham, 00BB (891)","135","Enfield, 00AK (135)","1/6/2019 - 31/8/2019, Every day, Daily Average",1744,1417,2145
"891","Newham, 00BB (891)","136","Enfield, 00AK (136)","1/6/2019 - 31/8/2019, Every day, Daily Average",2136,1720,2652
"891","Newham, 00BB (891)","137","Enfield, 00AK (137)","1/6/2019 - 31/8/2019, Every day, Daily Average",1548,1269,1886
"891","Newham, 00BB (891)","138","Enfield, 00AK (138)","1/6/2019 - 31/8/2019, Every day, Daily Average",1660,1367,2014
"891","Newham, 00BB (891)","139","Enfield, 00AK (139)","1/6/2019 - 31/8/2019, Every day, Daily Average",1804,1474,2207
"891","Newham, 00BB (891)","140","Enfield, 00AK (140)","1/6/2019 - 31/8/2019, Every day, Daily Average",1983,1603,2452
"891","Newham, 00BB (891)","141","Greenwich, 00AL (141)","1/6/2019 - 31/8/2019, Every day, Daily Average",1857,1261,2732
"891","Newham, 00BB (891)","142","Greenwich, 00AL (142)","1/6/2019 - 31/8/2019, Every day, Daily Average",1406,1103,1790
"891","Newham, 00BB (891)","144","Greenwich, 00AL (144)","1/6/2019 - 31/8/2019, Every day, Daily Average",1657,1289,2129
"891","Newham, 00BB (891)","145","Greenwich, 00AL (145)","1/6/2019 - 31/8/2019, Every day, Daily Average",1848,1400,2437
"891","Newham, 00BB (891)","146","Hackney, 00AM (146)","1/6/2019 - 31/8/2019, Every day, Daily Average",1884,1492,2378
"891","Newham, 00BB (891)","147","Hackney, 00AM (147)","1/6/2019 - 31/8/2019, Every day, Daily Average",2205,1768,2749
"891","Newham, 00BB (891)","148","Hackney, 00AM (148)","1/6/2019 - 31/8/2019, Every day, Daily Average",2033,1653,2499
"891","Newham, 00BB (891)","149","Hackney, 00AM (149)","1/6/2019 - 31/8/2019, Every day, Daily Average",1775,1262,2494
"891","Newham, 00BB (891)","150","Hackney, 00AM (150)","1/6/2019 - 31/8/2019, Every day, Daily Average",1616,1251,2086
"891","Newham, 00BB (891)","151","Hackney, 00AM (151)","1/6/2019 - 31/8/2019, Every day, Daily Average",1804,1448,2246
"891","Newham, 00BB (891)","152","Hackney, 00AM (152)","1/6/2019 - 31/8/2019, Every day, Daily Average",1735,1427,2108
"891","Newham, 00BB (891)","153","Hackney, 00AM (153)","1/6/2019 - 31/8/2019, Every day, Daily Average",1146,939,1398
"891","Newham, 00BB (891)","154","Hackney, 00AM (154)","1/6/2019 - 31/8/2019, Every day, Daily Average",1333,1096,1620
"891","Newham, 00BB (891)","155","Hackney, 00AM (155)","1/6/2019 - 31/8/2019, Every day, Daily Average",1553,1289,1870
"891","Newham, 00BB (891)","156","Hackney, 00AM (156)","1/6/2019 - 31/8/2019, Every day, Daily Average",1760,1468,2109
"891","Newham, 00BB (891)","157","Hackney, 00AM (157)","1/6/2019 - 31/8/2019, Every day, Daily Average",1756,1411,2184
"891","Newham, 00BB (891)","158","Hammersmith and Fulham, 00AN (158)","1/6/2019 - 31/8/2019, Every day, Daily Average",3633,2867,4603
"891","Newham, 00BB (891)","160","Hammersmith and Fulham, 00AN (160)","1/6/2019 - 31/8/2019, Every day, Daily Average",3972,3197,4933
"891","Newham, 00BB (891)","161","Hammersmith and Fulham, 00AN (161)","1/6/2019 - 31/8/2019, Every day, Daily Average",3331,2645,4193
"891","Newham, 00BB (891)","162","Haringey, 00AP (162)","1/6/2019 - 31/8/2019, Every day, Daily Average",2121,1744,2578
"891","Newham, 00BB (891)","163","Haringey, 00AP (163)","1/6/2019 - 31/8/2019, Every day, Daily Average",1785,1495,2130
"891","Newham, 00BB (891)","164","Haringey, 00AP (164)","1/6/2019 - 31/8/2019, Every day, Daily Average",2012,1557,2599
"891","Newham, 00BB (891)","165","Haringey, 00AP (165)","1/6/2019 - 31/8/2019, Every day, Daily Average",2204,1778,2730
"891","Newham, 00BB (891)","166","Haringey, 00AP (166)","1/6/2019 - 31/8/2019, Every day, Daily Average",1906,1610,2256
"891","Newham, 00BB (891)","167","Haringey, 00AP (167)","1/6/2019 - 31/8/2019, Every day, Daily Average",1829,1538,2174
"891","Newham, 00BB (891)","168","Haringey, 00AP (168)","1/6/2019 - 31/8/2019, Every day, Daily Average",2278,1806,2872
"891","Newham, 00BB (891)","169","Haringey, 00AP (169)","1/6/2019 - 31/8/2019, Every day, Daily Average",2131,1714,2648
"891","Newham, 00BB (891)","170","Haringey, 00AP (170)","1/6/2019 - 31/8/2019, Every day, Daily Average",2390,1970,2899
"891","Newham, 00BB (891)","172","Haringey, 00AP (172)","1/6/2019 - 31/8/2019, Every day, Daily Average",2303,1869,2837
"891","Newham, 00BB (891)","173","Haringey, 00AP (173)","1/6/2019 - 31/8/2019, Every day, Daily Average",2145,1832,2511
"891","Newham, 00BB (891)","174","Haringey, 00AP (174)","1/6/2019 - 31/8/2019, Every day, Daily Average",2394,2080,2754
"891","Newham, 00BB (891)","175","Haringey, 00AP (175)","1/6/2019 - 31/8/2019, Every day, Daily Average",2583,2159,3089
"891","Newham, 00BB (891)","176","Haringey, 00AP (176)","1/6/2019 - 31/8/2019, Every day, Daily Average",2607,2238,3036
"891","Newham, 00BB (891)","177","Haringey, 00AP (177)","1/6/2019 - 31/8/2019, Every day, Daily Average",2294,1982,2654
"891","Newham, 00BB (891)","178","Haringey, 00AP (178)","1/6/2019 - 31/8/2019, Every day, Daily Average",2180,1775,2676
"891","Newham, 00BB (891)","179","Haringey, 00AP (179)","1/6/2019 - 31/8/2019, Every day, Daily Average",2083,1708,2539
"891","Newham, 00BB (891)","180","Haringey, 00AP (180)","1/6/2019 - 31/8/2019, Every day, Daily Average",2216,1809,2713
"891","Newham, 00BB (891)","181","Haringey, 00AP (181)","1/6/2019 - 31/8/2019, Every day, Daily Average",2293,1869,2812
"891","Newham, 00BB (891)","182","Haringey, 00AP (182)","1/6/2019 - 31/8/2019, Every day, Daily Average",2486,2108,2931
"891","Newham, 00BB (891)","183","Haringey, 00AP (183)","1/6/2019 - 31/8/2019, Every day, Daily Average",1946,1447,2615
"891","Newham, 00BB (891)","184","Haringey, 00AP (184)","1/6/2019 - 31/8/2019, Every day, Daily Average",2887,2360,3531
"891","Newham, 00BB (891)","185","Haringey, 00AP (185)","1/6/2019 - 31/8/2019, Every day, Daily Average",2407,1954,2964
"891","Newham, 00BB (891)","186","Haringey, 00AP (186)","1/6/2019 - 31/8/2019, Every day, Daily Average",2201,1714,2825
"891","Newham, 00BB (891)","187","Haringey, 00AP (187)","1/6/2019 - 31/8/2019, Every day, Daily Average",2635,2232,3110
"891","Newham, 00BB (891)","188","Haringey, 00AP (188)","1/6/2019 - 31/8/2019, Every day, Daily Average",2523,2136,2978
"891","Newham, 00BB (891)","201","Islington, 00AU (201)","1/6/2019 - 31/8/2019, Every day, Daily Average",2098,1758,2503
"891","Newham, 00BB (891)","202","Islington, 00AU (202)","1/6/2019 - 31/8/2019, Every day, Daily Average",2366,2013,2780
"891","Newham, 00BB (891)","203","Islington, 00AU (203)","1/6/2019 - 31/8/2019, Every day, Daily Average",2020,1710,2385
"891","Newham, 00BB (891)","204","Islington, 00AU (204)","1/6/2019 - 31/8/2019, Every day, Daily Average",2410,1979,2933
"891","Newham, 00BB (891)","205","Kensington and Chelsea, 00AW (205)","1/6/2019 - 31/8/2019, Every day, Daily Average",3577,2834,4514
"891","Newham, 00BB (891)","206","Kensington and Chelsea, 00AW (206)","1/6/2019 - 31/8/2019, Every day, Daily Average",3509,2795,4405
"891","Newham, 00BB (891)","207","Kensington and Chelsea, 00AW (207)","1/6/2019 - 31/8/2019, Every day, Daily Average",3567,2820,4510
"891","Newham, 00BB (891)","208","Kensington and Chelsea, 00AW (208)","1/6/2019 - 31/8/2019, Every day, Daily Average",3768,3009,4717
"891","Newham, 00BB (891)","209","Kensington and Chelsea, 00AW (209)","1/6/2019 - 31/8/2019, Every day, Daily Average",3229,2548,4091
"891","Newham, 00BB (891)","210","Kensington and Chelsea, 00AW (210)","1/6/2019 - 31/8/2019, Every day, Daily Average",2822,2162,3682
